articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,direction,articleConfirmYmd,tagList,latitude,longitude
2524659808,단지내상가,월세,1/20,170,"3,000",48,43,남서향,20250509,"['10년이내', '역세권', '1층', '관리비10만원이하']",37.549025,126.870758
2524619878,일반상가,월세,1/20,291,"3,492",110,60,북동향,20250509,"['10년이내', '역세권', '1층', '주차가능']",37.550762,126.866387
2524658463,단지내상가,월세,1/1,200,"3,000",166,99,북동향,20250509,"['25년이내', '1층', '주차가능', '북동향']",37.550538,126.873697
2524670992,일반상가,월세,1/2,670,"8,000",363,174,남향,20250509,"['25년이상', '1층', '주차가능', '총2층']",37.550199,126.877427
2524466840,단지내상가,월세,1/25,320,"5,000",107,58,북동향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.557246,126.86445
2524364465,복합상가,매매,3/25,,"10억 5,000",209,112,남향,20250508,"['25년이내', '역세권', '지상층(1층제외)', '주차가능']",37.557246,126.86445
2524418900,복합상가,월세,1/15,280,"3,000",58,29,남향,20250508,"['10년이내', '역세권', '1층', '급매']",37.54993,126.86806
2524446005,복합상가,월세,1/7,320,1억,120,82,,20250508,"['10년이내', '융자금적은', '1층', '주차가능']",37.552258,126.869856
2524474169,복합상가,월세,1/15,750,"1억 3,000",141,99,남서향,20250508,"['2년이내', '융자금없는', '역세권', '1층']",37.550003,126.867372
2524573988,일반상가,월세,2/2,260,"3,000",65,65,남서향,20250508,"['25년이상', '역세권', '고층', '총2층']",37.551623,126.865589
2524377732,복합상가,월세,1/12,180,"3,000",70,34,북동향,20250508,"['4년이내', '역세권', '1층', '주차가능']",37.548673,126.877718
2524318728,일반상가,월세,2/12,550,2억,445,241,남서향,20250508,"['4년이내', '역세권', '지상층(1층제외)', '주차가능']",37.549286,126.875383
2524520009,일반상가,월세,1/20,"1,105","1억 2,000",321,178,북동향,20250508,"['10년이내', '역세권', '1층', '주차가능']",37.550762,126.866387
2524521466,일반상가,월세,8/8,400,"7,000",439,264,남향,20250508,"['25년이상', '역세권', '고층', '주차가능']",37.547347,126.874541
2524308590,복합상가,월세,1/25,320,"5,000",119,58,북동향,20250508,"['25년이내', '융자금적은', '역세권', '1층']",37.557246,126.86445
2524547440,단지내상가,월세,1/2,100,"1,000",82,39,남서향,20250508,"['25년이상', '1층', '주차가능', '엘리베이터']",37.549646,126.877635
2524598829,일반상가,월세,1/7,320,1억,382,86,,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.552362,126.869978
2524386080,복합상가,월세,1/2,180,"3,000",141,67,남서향,20250508,"['25년이상', '융자금없는', '1층', '주차가능']",37.550199,126.877427
2524423629,일반상가,월세,8/8,400,"7,000",567,422,남향,20250508,"['25년이상', '융자금적은', '역세권', '고층']",37.547347,126.874541
2524515971,일반상가,월세,1/2,120,"1,000",46,46,동향,20250508,"['25년이상', '역세권', '1층', '총2층']",37.554701,126.867456
2524384367,일반상가,월세,2/4,150,"3,000",138,138,남동향,20250508,"['25년이상', '역세권', '중층', '관리비20만원이하']",37.5499,126.874981
2524459281,일반상가,월세,1/4,110,"3,000",54,54,남향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.547484,126.876316
2524380148,일반상가,월세,1/5,180,"5,000",80,66,남동향,20250508,"['25년이내', '역세권', '1층', '관리비10만원이하']",37.550121,126.875086
2524584747,단지내상가,월세,1/1,100,"2,000",239,27,남동향,20250508,"['4년이내', '1층', '관리비10만원이하', '주차가능']",37.553963,126.873285
2524376168,단지내상가,월세,1/9,200,"3,000",166,99,북동향,20250508,"['25년이내', '1층', '관리비10만원이하', '북동향']",37.550538,126.873697
2524556958,복합상가,월세,1/25,900,2억,191,103,남향,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.557246,126.86445
2524537214,복합상가,월세,1/8,170,"3,000",46,46,남향,20250508,"['15년이내', '역세권', '1층', '주차가능']",37.547808,126.877501
2524566674,복합상가,월세,1/25,330,"3,000",140,71,,20250508,"['25년이내', '역세권', '1층', '주차가능']",37.557246,126.86445
